"COREAD","ESCA","HEALTHY","LIHC","NSCLC","PACA","STAD","split_name","train_early_percentage","test_early_percentage","MFR_train_auc","MFR_test_auc","FSI_train_auc","FSI_test_auc","CAFF_train_auc","CAFF_test_auc","FEM_train_auc","FEM_test_auc","Cancer_prob_train_auc","Cancer_prob_test_auc"
2,3,2,1,4,6,5,"split_145",0.33984375,0.365671641791045,0.932,0.886,0.919,0.892,0.827,0.844,0.969,0.816,0.981,0.902
5,3,2,1,4,6,5,"split_146",0.345849802371542,0.354014598540146,0.931,0.888,0.919,0.9,0.83,0.838,0.97,0.829,0.982,0.905
6,3,2,1,4,6,5,"split_147",0.336244541484716,0.366459627329193,0.93,0.893,0.923,0.906,0.827,0.841,0.968,0.844,0.981,0.916
2,4,2,1,4,6,5,"split_148",0.369072164948454,0.315254237288136,0.924,0.913,0.906,0.907,0.814,0.864,0.966,0.825,0.978,0.911
5,4,2,1,4,6,5,"split_149",0.375782881002088,0.305647840531561,0.925,0.919,0.909,0.912,0.817,0.858,0.968,0.838,0.979,0.923
6,4,2,1,4,6,5,"split_150",0.368909512761021,0.32378223495702,0.916,0.915,0.904,0.909,0.813,0.858,0.965,0.857,0.976,0.927
2,3,3,1,4,6,5,"split_151",0.33984375,0.365671641791045,0.945,0.888,0.92,0.891,0.845,0.857,0.965,0.891,0.979,0.929
5,3,3,1,4,6,5,"split_152",0.345849802371542,0.354014598540146,0.941,0.889,0.922,0.892,0.849,0.848,0.965,0.894,0.979,0.932
6,3,3,1,4,6,5,"split_153",0.336244541484716,0.366459627329193,0.93,0.892,0.915,0.903,0.842,0.856,0.959,0.905,0.972,0.941
2,4,3,1,4,6,5,"split_154",0.369072164948454,0.315254237288136,0.933,0.911,0.921,0.905,0.833,0.874,0.964,0.897,0.977,0.941
5,4,3,1,4,6,5,"split_155",0.375782881002088,0.305647840531561,0.933,0.909,0.91,0.896,0.837,0.866,0.965,0.895,0.976,0.935
6,4,3,1,4,6,5,"split_156",0.368909512761021,0.32378223495702,0.921,0.91,0.913,0.907,0.828,0.871,0.959,0.9,0.971,0.942
2,3,2,6,4,6,5,"split_157",0.421150278293135,0.186721991701245,0.927,0.924,0.905,0.91,0.817,0.868,0.96,0.921,0.976,0.959
5,3,2,6,4,6,5,"split_158",0.427767354596623,0.178137651821862,0.928,0.923,0.907,0.92,0.82,0.861,0.961,0.917,0.976,0.954
6,3,2,6,4,6,5,"split_159",0.42680412371134,0.220338983050847,0.928,0.926,0.909,0.92,0.816,0.861,0.96,0.914,0.977,0.958
2,4,2,6,4,6,5,"split_160",0.453125,0.149253731343284,0.92,0.946,0.907,0.926,0.804,0.888,0.957,0.927,0.974,0.968
5,4,2,6,4,6,5,"split_161",0.460474308300395,0.142335766423358,0.924,0.949,0.909,0.93,0.807,0.881,0.961,0.918,0.976,0.962
6,4,2,6,4,6,5,"split_162",0.462882096069869,0.186335403726708,0.922,0.945,0.896,0.927,0.802,0.877,0.957,0.917,0.973,0.964
2,3,3,6,4,6,5,"split_163",0.421150278293135,0.186721991701245,0.937,0.918,0.911,0.915,0.836,0.88,0.961,0.902,0.975,0.946
5,3,3,6,4,6,5,"split_164",0.427767354596623,0.178137651821862,0.934,0.921,0.916,0.918,0.84,0.87,0.963,0.897,0.977,0.941
6,3,3,6,4,6,5,"split_165",0.42680412371134,0.220338983050847,0.933,0.924,0.917,0.922,0.832,0.875,0.958,0.903,0.975,0.952
2,4,3,6,4,6,5,"split_166",0.453125,0.149253731343284,0.932,0.935,0.91,0.919,0.824,0.897,0.962,0.9,0.976,0.948
5,4,3,6,4,6,5,"split_167",0.460474308300395,0.142335766423358,0.931,0.936,0.911,0.919,0.828,0.888,0.963,0.898,0.976,0.944
6,4,3,6,4,6,5,"split_168",0.462882096069869,0.186335403726708,0.932,0.937,0.908,0.922,0.819,0.889,0.958,0.896,0.974,0.952
2,3,2,1,5,6,5,"split_169",0.323076923076923,0.4,0.938,0.869,0.917,0.893,0.823,0.852,0.971,0.81,0.982,0.893
5,3,2,1,5,6,5,"split_170",0.328793774319066,0.387218045112782,0.937,0.873,0.922,0.9,0.826,0.846,0.971,0.823,0.983,0.899
6,3,2,1,5,6,5,"split_171",0.317596566523605,0.394904458598726,0.937,0.882,0.926,0.901,0.823,0.848,0.97,0.842,0.982,0.913
2,4,2,1,5,6,5,"split_172",0.350912778904665,0.344947735191638,0.93,0.902,0.908,0.902,0.81,0.872,0.969,0.827,0.98,0.909
5,4,2,1,5,6,5,"split_173",0.357289527720739,0.334470989761092,0.926,0.904,0.906,0.907,0.813,0.866,0.97,0.837,0.98,0.914
6,4,2,1,5,6,5,"split_174",0.348519362186788,0.348973607038123,0.925,0.906,0.903,0.903,0.808,0.865,0.968,0.856,0.978,0.922
